,chA,chB,pA,pB,d,score
189,ADC,ADC,0.6000000000000001,0.7000000000000001,fidelity,0.7071458103808537
190,ADC,ADC,0.6000000000000001,0.7000000000000001,affinity,0.8038156567489096
191,ADC,ADC,0.6000000000000001,0.7000000000000001,wooters_distance,0.5614187108556604
192,ADC,ADC,0.6000000000000001,0.6000000000000001,trace_distance,0.36299337470697185
193,ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.721090673950636
194,ADC,ADC,0.6000000000000001,0.6000000000000001,affinity,0.8244688336300089
195,ADC,ADC,0.6000000000000001,0.6000000000000001,wooters_distance,0.5502662583114425
196,ADC,ADC,0.6000000000000001,0.5,trace_distance,0.3316631838524524
197,ADC,ADC,0.6000000000000001,0.5,fidelity,0.7318852330646575
198,ADC,ADC,0.6000000000000001,0.5,affinity,0.8402372454738067
199,ADC,ADC,0.6000000000000001,0.5,wooters_distance,0.541435835911518
200,ADC,ADC,0.6000000000000001,0.4,trace_distance,0.3037532070562376
201,ADC,ADC,0.6000000000000001,0.4,fidelity,0.7426904662291891
202,ADC,ADC,0.6000000000000001,0.4,affinity,0.8525287540155623
203,ADC,ADC,0.6000000000000001,0.4,wooters_distance,0.5309934915133628
204,ADC,ADC,0.6000000000000001,0.30000000000000004,trace_distance,0.27588559964573395
205,ADC,ADC,0.6000000000000001,0.30000000000000004,fidelity,0.7521923444383418
206,ADC,ADC,0.6000000000000001,0.30000000000000004,affinity,0.8625787647597841
207,ADC,ADC,0.6000000000000001,0.30000000000000004,wooters_distance,0.520759369051985
208,ADC,ADC,0.6000000000000001,0.2,trace_distance,0.2540624105380272
209,ADC,ADC,0.6000000000000001,0.2,fidelity,0.7604515905260278
210,ADC,ADC,0.6000000000000001,0.2,affinity,0.8696231994709475
211,ADC,ADC,0.6000000000000001,0.2,wooters_distance,0.5101491663046489
212,ADC,ADC,0.6000000000000001,0.1,trace_distance,0.23314753945554778
213,ADC,ADC,0.6000000000000001,0.1,fidelity,0.7719098339998808
214,ADC,ADC,0.6000000000000001,0.1,affinity,0.8770481931112789
215,ADC,ADC,0.6000000000000001,0.1,wooters_distance,0.49341325597612623
216,ADC,ADC,0.6000000000000001,0.0,trace_distance,0.2207447096141868
217,ADC,ADC,0.6000000000000001,0.0,fidelity,0.7804279689573866
218,ADC,ADC,0.6000000000000001,0.0,affinity,0.8813855216663661
219,ADC,ADC,0.6000000000000001,0.0,wooters_distance,0.4672434873625532
220,ADC,ADC,0.5,1.0,trace_distance,0.5579194725568462
221,ADC,ADC,0.5,1.0,fidelity,0.5824364671248982
222,ADC,ADC,0.5,1.0,affinity,0.5824364671248982
223,ADC,ADC,0.5,1.0,wooters_distance,0.655512916372457
224,ADC,ADC,0.5,0.9,trace_distance,0.47930731001773824
225,ADC,ADC,0.5,0.9,fidelity,0.65838635618439
226,ADC,ADC,0.5,0.9,affinity,0.7271757836622833
227,ADC,ADC,0.5,0.9,wooters_distance,0.5969186601746254
228,ADC,ADC,0.5,0.8,trace_distance,0.43310456267530945
229,ADC,ADC,0.5,0.8,fidelity,0.6909353962906303
230,ADC,ADC,0.5,0.8,affinity,0.7749821604802151
231,ADC,ADC,0.5,0.8,wooters_distance,0.5709134179789186
232,ADC,ADC,0.5,0.7000000000000001,trace_distance,0.393304567230645
233,ADC,ADC,0.5,0.7000000000000001,fidelity,0.711761044221951
234,ADC,ADC,0.5,0.7000000000000001,affinity,0.8062114237670496
235,ADC,ADC,0.5,0.7000000000000001,wooters_distance,0.5545552017901642
236,ADC,ADC,0.5,0.6000000000000001,trace_distance,0.35786789589505563
237,ADC,ADC,0.5,0.6000000000000001,fidelity,0.7300916607156095
238,ADC,ADC,0.5,0.6000000000000001,affinity,0.8292561907696206
239,ADC,ADC,0.5,0.6000000000000001,wooters_distance,0.5388813151716267
240,ADC,ADC,0.5,0.5,trace_distance,0.3210240543595523
241,ADC,ADC,0.5,0.5,fidelity,0.7498268409260933
242,ADC,ADC,0.5,0.5,affinity,0.849549117398874
243,ADC,ADC,0.5,0.5,wooters_distance,0.519704725673655
244,ADC,ADC,0.5,0.4,trace_distance,0.2844205557842903
245,ADC,ADC,0.5,0.4,fidelity,0.7680083618201055
246,ADC,ADC,0.5,0.4,affinity,0.866669188614407
247,ADC,ADC,0.5,0.4,wooters_distance,0.5007492232387757
248,ADC,ADC,0.5,0.30000000000000004,trace_distance,0.250451278132136
249,ADC,ADC,0.5,0.30000000000000004,fidelity,0.7818362936926415
250,ADC,ADC,0.5,0.30000000000000004,affinity,0.8793662025268922
251,ADC,ADC,0.5,0.30000000000000004,wooters_distance,0.485168302832268
252,ADC,ADC,0.5,0.2,trace_distance,0.22283225058467063
253,ADC,ADC,0.5,0.2,fidelity,0.7939215401271138
254,ADC,ADC,0.5,0.2,affinity,0.8886840954267377
255,ADC,ADC,0.5,0.2,wooters_distance,0.4698121984273184
256,ADC,ADC,0.5,0.1,trace_distance,0.19931617480272235
257,ADC,ADC,0.5,0.1,fidelity,0.8063005921663758
258,ADC,ADC,0.5,0.1,affinity,0.8965623001045921
259,ADC,ADC,0.5,0.1,wooters_distance,0.4508585411482073
260,ADC,ADC,0.5,0.0,trace_distance,0.18353977239549613
261,ADC,ADC,0.5,0.0,fidelity,0.8187842910660065
262,ADC,ADC,0.5,0.0,affinity,0.9032132297199139
263,ADC,ADC,0.5,0.0,wooters_distance,0.4161013740599124
264,ADC,ADC,0.4,1.0,trace_distance,0.5745675694963871
265,ADC,ADC,0.4,1.0,fidelity,0.5654742562641134
266,ADC,ADC,0.4,1.0,affinity,0.5654742562641133
267,ADC,ADC,0.4,1.0,wooters_distance,0.6817285124112641
268,ADC,ADC,0.4,0.9,trace_distance,0.4871507915173738
269,ADC,ADC,0.4,0.9,fidelity,0.6544265417095976
270,ADC,ADC,0.4,0.9,affinity,0.7222810132798635
271,ADC,ADC,0.4,0.9,wooters_distance,0.6026364125372051
272,ADC,ADC,0.4,0.8,trace_distance,0.43692996537020806
273,ADC,ADC,0.4,0.8,fidelity,0.6900965352332236
274,ADC,ADC,0.4,0.8,affinity,0.7732817196876854
