chA,chB,pA,pB,d,score
DC,MADC,0.7000000000000001,0.4,affinity,0.6640324257656333
DC,MADC,0.7000000000000001,0.4,wooters_distance,0.816694765530282
DC,MADC,0.7000000000000001,0.5,trace_distance,0.5701892527787767
DC,MADC,0.7000000000000001,0.5,fidelity,0.4746257252305415
DC,MADC,0.7000000000000001,0.5,affinity,0.6578704931495498
DC,MADC,0.7000000000000001,0.5,wooters_distance,0.8131014509821021
DC,MADC,0.7000000000000001,0.6000000000000001,trace_distance,0.5804719324221645
DC,MADC,0.7000000000000001,0.6000000000000001,fidelity,0.48133467346597064
DC,MADC,0.7000000000000001,0.6000000000000001,affinity,0.6502921642216306
DC,MADC,0.7000000000000001,0.6000000000000001,wooters_distance,0.8068648104314331
DC,MADC,0.7000000000000001,0.7000000000000001,trace_distance,0.5953916845015308
DC,MADC,0.7000000000000001,0.7000000000000001,fidelity,0.48567284535077476
DC,MADC,0.7000000000000001,0.7000000000000001,affinity,0.6371111098635052
DC,MADC,0.7000000000000001,0.7000000000000001,wooters_distance,0.8030721156123828
DC,MADC,0.7000000000000001,0.8,trace_distance,0.6149873297972378
DC,MADC,0.7000000000000001,0.8,fidelity,0.4910953177741784
DC,MADC,0.7000000000000001,0.8,affinity,0.6190285146701897
DC,MADC,0.7000000000000001,0.8,wooters_distance,0.7972725911510041
DC,MADC,0.7000000000000001,0.9,trace_distance,0.6402547681295364
DC,MADC,0.7000000000000001,0.9,fidelity,0.49344318467526416
DC,MADC,0.7000000000000001,0.9,affinity,0.5874303592641895
DC,MADC,0.7000000000000001,0.9,wooters_distance,0.7945506426196686
DC,MADC,0.7000000000000001,1.0,trace_distance,0.6660804792904179
DC,MADC,0.7000000000000001,1.0,fidelity,0.4999612487206452
DC,MADC,0.7000000000000001,1.0,affinity,0.49996179395114315
DC,MADC,0.7000000000000001,1.0,wooters_distance,0.7856412288055658
DC,MADC,0.8,0.0,trace_distance,0.5399191114792996
DC,MADC,0.8,0.0,fidelity,0.466336946477839
DC,MADC,0.8,0.0,affinity,0.6790819886720385
DC,MADC,0.8,0.0,wooters_distance,0.8192667561233733
DC,MADC,0.8,0.1,trace_distance,0.5321938579216244
DC,MADC,0.8,0.1,fidelity,0.47507411498841046
DC,MADC,0.8,0.1,affinity,0.6847463684964537
DC,MADC,0.8,0.1,wooters_distance,0.8105502292226462
DC,MADC,0.8,0.2,trace_distance,0.5345664631139481
DC,MADC,0.8,0.2,fidelity,0.4767212939655669
DC,MADC,0.8,0.2,affinity,0.6832900715940714
DC,MADC,0.8,0.2,wooters_distance,0.8091212082965845
DC,MADC,0.8,0.30000000000000004,trace_distance,0.5399173444508604
DC,MADC,0.8,0.30000000000000004,fidelity,0.47818675502217917
DC,MADC,0.8,0.30000000000000004,affinity,0.679815402890276
DC,MADC,0.8,0.30000000000000004,wooters_distance,0.8079832657501627
DC,MADC,0.8,0.4,trace_distance,0.5477407186682725
DC,MADC,0.8,0.4,fidelity,0.48101961194935017
DC,MADC,0.8,0.4,affinity,0.6747293028516413
DC,MADC,0.8,0.4,wooters_distance,0.8055338249415344
DC,MADC,0.8,0.5,trace_distance,0.559188770260716
DC,MADC,0.8,0.5,fidelity,0.4827140044822755
DC,MADC,0.8,0.5,affinity,0.6667613358064645
DC,MADC,0.8,0.5,wooters_distance,0.8042898916158815
DC,MADC,0.8,0.6000000000000001,trace_distance,0.5725039660672085
DC,MADC,0.8,0.6000000000000001,fidelity,0.48710190802398035
DC,MADC,0.8,0.6000000000000001,affinity,0.6575633446865018
DC,MADC,0.8,0.6000000000000001,wooters_distance,0.8002238293287792
DC,MADC,0.8,0.7000000000000001,trace_distance,0.5901808143896417
DC,MADC,0.8,0.7000000000000001,fidelity,0.49136441771914197
DC,MADC,0.8,0.7000000000000001,affinity,0.6441308225645546
DC,MADC,0.8,0.7000000000000001,wooters_distance,0.7960950056545841
DC,MADC,0.8,0.8,trace_distance,0.6132359637934893
DC,MADC,0.8,0.8,fidelity,0.4924610338206958
DC,MADC,0.8,0.8,affinity,0.622608609825389
DC,MADC,0.8,0.8,wooters_distance,0.7951850083290335
DC,MADC,0.8,0.9,trace_distance,0.6413631691865556
DC,MADC,0.8,0.9,fidelity,0.496065315389688
DC,MADC,0.8,0.9,affinity,0.5917390875881989
DC,MADC,0.8,0.9,wooters_distance,0.7910529148812829
DC,MADC,0.8,1.0,trace_distance,0.6687779420546246
DC,MADC,0.8,1.0,fidelity,0.5001956997585296
DC,MADC,0.8,1.0,affinity,0.5001956164837909
DC,MADC,0.8,1.0,wooters_distance,0.7851727081471679
DC,MADC,0.9,0.0,trace_distance,0.5196381312194682
DC,MADC,0.9,0.0,fidelity,0.4825439258479025
DC,MADC,0.9,0.0,affinity,0.6933351895572594
DC,MADC,0.9,0.0,wooters_distance,0.8028945129241389
DC,MADC,0.9,0.1,trace_distance,0.5177617621092426
DC,MADC,0.9,0.1,fidelity,0.4860468644436201
DC,MADC,0.9,0.1,affinity,0.694946041515738
DC,MADC,0.9,0.1,wooters_distance,0.7994260104167684
DC,MADC,0.9,0.2,trace_distance,0.5227269656276048
DC,MADC,0.9,0.2,fidelity,0.4854593403850645
DC,MADC,0.9,0.2,affinity,0.6918695394846361
DC,MADC,0.9,0.2,wooters_distance,0.8001231682740502
DC,MADC,0.9,0.30000000000000004,trace_distance,0.5279575965201936
DC,MADC,0.9,0.30000000000000004,fidelity,0.487622813088723
DC,MADC,0.9,0.30000000000000004,affinity,0.6886493362706536
DC,MADC,0.9,0.30000000000000004,wooters_distance,0.7981909730203941
DC,MADC,0.9,0.4,trace_distance,0.5377079447812199
DC,MADC,0.9,0.4,fidelity,0.48867432212114137
DC,MADC,0.9,0.4,affinity,0.6823348094390798
DC,MADC,0.9,0.4,wooters_distance,0.7973626489467858
DC,MADC,0.9,0.5,trace_distance,0.549583358098621
DC,MADC,0.9,0.5,fidelity,0.4925539868676079
DC,MADC,0.9,0.5,affinity,0.6760620537892817
DC,MADC,0.9,0.5,wooters_distance,0.793538037111217
DC,MADC,0.9,0.6000000000000001,trace_distance,0.5652318037029295
DC,MADC,0.9,0.6000000000000001,fidelity,0.4919457231652791
DC,MADC,0.9,0.6000000000000001,affinity,0.66288284983997
DC,MADC,0.9,0.6000000000000001,wooters_distance,0.7945713030165767
DC,MADC,0.9,0.7000000000000001,trace_distance,0.5849806238358174
DC,MADC,0.9,0.7000000000000001,fidelity,0.4941480949265042
DC,MADC,0.9,0.7000000000000001,affinity,0.6480771134873831
DC,MADC,0.9,0.7000000000000001,wooters_distance,0.7924706720907821
DC,MADC,0.9,0.8,trace_distance,0.609435752824758
DC,MADC,0.9,0.8,fidelity,0.49586921212615903
DC,MADC,0.9,0.8,affinity,0.6266621097448584
