,chA,chB,pA,pB,d,score
174,ADC,ADC,0.7000000000000001,0.0,affinity,0.853932788471847
175,ADC,ADC,0.7000000000000001,0.0,wooters_distance,0.5269628869442986
176,ADC,ADC,0.6000000000000001,1.0,trace_distance,0.5404249084301516
177,ADC,ADC,0.6000000000000001,1.0,fidelity,0.6009182174983625
178,ADC,ADC,0.6000000000000001,1.0,affinity,0.6009182174983624
179,ADC,ADC,0.6000000000000001,1.0,wooters_distance,0.6270421014571433
180,ADC,ADC,0.6000000000000001,0.9,trace_distance,0.47366880236339864
181,ADC,ADC,0.6000000000000001,0.9,fidelity,0.6616345093746
182,ADC,ADC,0.6000000000000001,0.9,affinity,0.729644167994859
183,ADC,ADC,0.6000000000000001,0.9,wooters_distance,0.5944595348212527
184,ADC,ADC,0.6000000000000001,0.8,trace_distance,0.4321603306521664
185,ADC,ADC,0.6000000000000001,0.8,fidelity,0.6866265742270067
186,ADC,ADC,0.6000000000000001,0.8,affinity,0.7739396688015604
187,ADC,ADC,0.6000000000000001,0.8,wooters_distance,0.5761475592460791
188,ADC,ADC,0.6000000000000001,0.7000000000000001,trace_distance,0.3965246612643442
189,ADC,ADC,0.6000000000000001,0.7000000000000001,fidelity,0.7037544499484841
190,ADC,ADC,0.6000000000000001,0.7000000000000001,affinity,0.8025463414701236
191,ADC,ADC,0.6000000000000001,0.7000000000000001,wooters_distance,0.5648954485593298
192,ADC,ADC,0.6000000000000001,0.6000000000000001,trace_distance,0.36059781394458884
193,ADC,ADC,0.6000000000000001,0.6000000000000001,fidelity,0.7231921366601114
194,ADC,ADC,0.6000000000000001,0.6000000000000001,affinity,0.8259692285652926
195,ADC,ADC,0.6000000000000001,0.6000000000000001,wooters_distance,0.5478008311924321
196,ADC,ADC,0.6000000000000001,0.5,trace_distance,0.33298499548214644
197,ADC,ADC,0.6000000000000001,0.5,fidelity,0.7313949258498239
198,ADC,ADC,0.6000000000000001,0.5,affinity,0.8397611813209424
199,ADC,ADC,0.6000000000000001,0.5,wooters_distance,0.5421050359050718
200,ADC,ADC,0.6000000000000001,0.4,trace_distance,0.3026924035730338
201,ADC,ADC,0.6000000000000001,0.4,fidelity,0.7424350320318619
202,ADC,ADC,0.6000000000000001,0.4,affinity,0.8526831626852044
203,ADC,ADC,0.6000000000000001,0.4,wooters_distance,0.5313769142647965
